Code,Description,Sell Price Exc. VAT,Sell Price Inc. VAT
BOZ20SACH,Boz Merix 20 x 10g Sachets,48.50,48.50
BRAVECTOTABXL,Bravecto Extra Large Breed Dog Tablets (per box of 1x 1400mg tablet),29.86,35.83
BRAVTABLRGSINGLE,Bravecto Large Breed (20-40Kg) Dog Tablet (Per 1000mg tablet),29.70,35.64
BRAVTABLRGDUO,Bravecto Large Breed Dog Tablets (per box of 2 x 1000mg tablets),67.51,81.01
BRAVTABMEDSINGLE,Bravecto Medium Breed Dog (10-20kg) (per 500mg tablet),26.74,32.09
BRAVTABMEDDUO,Bravecto Medium Breed Dog (10-20kg) (per box of 2 x 500mg tablet),44.94,53.93
BRAVECTOTABSMALL2DOSE,"Bravecto Small Breed Dog (4.5-10kg, 250mg tabs) (per box of 2 tablets)",49.88,59.86
BRAVECTOTABSMALL,Bravecto Small Breed Dog (4.5-10kg) (per 250mg tablet),21.20,25.44
BREATHEAZY,Breatheazy Flexineb Medication Cup (Including P&P),81.95,98.34
MAREBSE,"Breeding Soundness Exam (Incl Perineal Conformation Assessment, Rectal US Repro Tract, Cervical Spec",83.02,99.62
BAL,Broncho-Alveolar Lavage (Lung Wash) (includes sterile fluids and consumables),91.05,109.26
UTERINEPROLAPSE,Broodmare Uterine Prolapse,128.54,154.25
BRUCELLACANISELISA,Brucella canis iELISA (APHA),11.54,13.84
BRUCELLACANISSAT,Brucella canis Serum Agglutination Test (SAT) (APHA),20.91,25.09
BUDESBOX,Budesonide (Pulmicort) (per pack of 20 nebules),92.42,110.90
DISCOUNT,Bulk Discount,0.00,0.00
BUSCOML,Buscopan 20mg/ml (per 1ml vial),1.95,2.34
BUSCOBOX,Buscopan 20mg/ml Inj (per box of 10 x 1ml vial),19.46,23.35
BFCATH23,Butterfly Catheter 23G Blue,1.00,1.20
BFCATH25,Butterfly Catheter 25G Orange,1.00,1.20
CALCIBELBOT,Calcibel 500ml Injectable (per 500ml bottle),14.94,17.93
CALCIBELML,Calcibel 500ml Injectable (per ml),0.00,0.00
V3,Call-Out Fee (V3) (21-30 miles round trip),42.90,51.48
V4,Call-Out Fee (V4) (31 to 40 mile round trip),65.00,78.00
VFOC,Call-Out Free Of Charge,0.00,0.00
CANAURAL15,Canaural Ear Drops 15ml,19.25,23.10
CANAURAL25,Canaural Ear Drops 25ml,25.62,30.74
ASSISTMATDOG,Canine Assisted Natural Mating,65.00,78.00
