Code,Description,Sell Price Exc. VAT,Sell Price Inc. VAT
EXPORTNI,Northern Ireland Export Certification,386.06,463.27
NGSCHILL1ST,Norton Grove Chilled AI Package FIRST CYCLE,410.83,493.00
NGSCHILLSUB,Norton Grove Chilled AI Package SUBSEQUENT CYCLES,359.17,431.00
NGSFRZSUB,Norton Grove Frozen AI Package SUBSEQUENT CYCLES,455.00,546.00
NGSFRZ1ST,Norton Grove Stud Frozen AI Package FIRST CYCLE,535.83,643.00
NUCHALTHREADWORM,"Nuchal Threadworm Test (incl biopsy processing, staining & microscopy)",43.16,51.79
OESTRONESULPHATE,Oestrone Sulphate Blood Test (Rainbow Lab),34.50,41.40
SALESOVDEC,Official Veterinarian Declaration (For Sales EU Export),37.49,44.99
OVEXPORTCONSULT,Official Veterinarian Export Consultancy,0.00,0.00
OMEPVIAL,Omeprazole 100mg/ml Injectable (per 20ml vial),209.20,251.04
OMEPML,Omeprazole 100mg/ml Injectable (per ml),10.46,12.55
OPENCASLICK,Open Caslick (drugs and consumables included),31.72,38.06
OPENCASLICKSCH,Open Caslick (including drugs and consumables) (Scheme),0.00,0.00
OSTEOPENDOSE,Osteopen Injectable (per 10ml vial),82.44,98.92
OTOX,Otoxolan Ear Drops Dog (per 10ml bottle),16.67,20.00
OOH1,Out Of Hours Call-Out Zone 1,128.44,154.13
OOH2,Out Of Hours Call-Out Zone 2,150.80,180.96
OOH3,Out Of Hours Call-Out Zone 3,171.60,205.92
OOH4,Out Of Hours Call-Out Zone 4,187.20,224.64
OOH5+,Out Of Hours Call-Out Zone 5+,240.00,288.00
CONSULTSMAOOH,Out Of Hours Small Animal Consultation,113.83,136.59
OOHLOCAL,Out Of Hours Visit Local,85.80,102.96
DEBTINTEREST,Overdue Debt Interest Applied Monthly (8% Annual Rate),0.00,0.00
HYDROTUB,Oviductal Hydrotubation (Fallopian Tube Flushing),306.80,368.16
OXYTOCBOT,Oxytocin 10IU/ml Injectable (per 25ml bottle),40.84,49.00
OXYTOCML,Oxytocin 10IU/ml Injectable (per ml),1.63,1.96
PACKAGING,Packaging,0.15,0.18
LABINTERPRET,"Packaging, Delivery, Interpretation and Reporting of Laboratory Results",5.95,7.14
PANACURDOGBOT,Panacur Dog/Cat 10% Suspension (per 100ml bottle),25.85,31.02
PANACUREQBOT,Panacur Guard Equine Oral Suspension (per 225ml bottle),30.48,36.57
PARACETBOT,Paracetamol 500mg (per bottle of 1000 tablets),65.76,78.91
PARACETTAB,Paracetamol 500mg (per tab),0.07,0.08
PARAFFINLIQ5L,Paraffin Liquid 5L,25.50,30.60
PDSSUTBOX,PDS Plus Sutures USP 0 (Ethicon) (per 36 pack),437.16,524.59
PDSSUTC,PDS Plus Sutures USP 0 (Ethicon) (per suture),12.15,14.58
PECT1KG,Pectigus Advanced 1kg,57.04,57.04
PECT3KG,Pectigus Advanced 3kg,128.59,128.59
PENROSE0.5,Penrose Tubing size 0.5,0.98,1.18
PENROSE1,Penrose Tubing Size 1,1.09,1.31
PENTOXYPHYLTUB,Pentoxyphylline (425mg/ml) Oral Paste (per 500ml tub),397.80,477.36
PEPTIZOLE7BOX,Peptizole Oral Omeprazole Paste (per box of 7 syringes),157.85,189.42
PEPTIZOLESYR,Peptizole per syringe,22.56,27.07
CASLICK,Perform Caslick's Surgery (drugs & suture material included),50.61,60.73
CASLICKSCH,Perform Caslick's Surgery (Scheme),0.00,0.00
ECGEXAM,Perform Electrocardiogram (ECG),85.16,102.19
FLUORESEYE,Perform Fluorescein Eye Test,13.00,15.60
MADIGAN,Perform Madigan Procedure (up to 20 minutes),65.61,78.73
SWABNP,Perform Nasopharyngeal Swab (includes consumables),37.49,44.99
RETENTENEMA,Perform Retention Enema,91.05,109.26
SKINBIOPSY,Perform Skin Biopsy,124.80,149.76
PRASCENDBOX,Pergolide 1mg (per box of 160 tablets),272.88,327.46
PERGOQUINBOX,Pergolide 1mg (per box of 60 tablets),71.36,85.63
PERGOQUINTAB,Pergolide 1mg (per tablet),1.19,1.43
PRASCENDTAB,Pergolide 1mg (per tablet),1.72,2.06
GADD,Perineal Body Reconstruction (Gadd Procedure),455.26,546.31
STRIP,Periosteal Elevation Surgery (“Strip”) (per site),84.62,101.55
NSP,"Pipette, 3ml non-sterile",9.99,11.99
STP,"Pipette, 3ml sterile",5.34,6.41
FTP,"Pipette, Fine Tip 1ml non-sterile",9.24,11.09
INDSTOMTUBE,Place Indwelling Nasogastric tube,105.51,126.61
MARBLE,Place Intrauterine Acrylic Sphere (Marble),57.20,68.64
CATHSHORT,"Place Short-Stay Catheter (includes prep, local anaesthetic, catheter and IV placement)",37.44,44.93
PLASMAUTEINFUSBUNDLE,Plasma Uterine Infusion Bundle,0.00,0.00
PMFOETUS,"PM Foetus & Excise Liver, Lung, Spleen, Thymus, Adrenal & Placenta Samples",87.84,105.41
VICRYLPOLY0BOX,Polysorb/Vicryl Suture Material USP 0 (per pack),10.00,12.00
POLYGLOVE,Polythene Gloves One Size Arm Length,7.90,9.48
PM,Post Mortem Examination,113.55,136.26
POSTAGEONLINE,Postage and Packaging,0.00,0.00
POSTCOST,Postage Cost,0.00,0.00
POTIODPOT,Potassium Iodide Crystals Oral (per 500g pot),110.00,132.00
POTIODG,Potassium Iodide Crystals Oral (per gram),0.22,0.26
POWDOX1L,Powdox (100mg/ml doxycycline) Oral Solution (per 1 litre bottle),67.06,80.47
PRAZIQUANTEL,Praziquantel Paste (per tube),24.14,28.96
PRETCI,Pre-TCI examination and certification,39.00,46.80
PREDFORTE10,Pred Forte Eye Drops (10ml bottle),8.14,9.77
PREDFORTE5,Pred Forte Eye Drops (5ml bottle),4.04,4.85
PREDPASTE,Prednisolone 100mg/ml Oral Paste (per 30ml syringe),80.23,96.28
PREDTAB,Prednisolone 5mg (per tablet),0.22,0.27
PRED5BOX,Prednisolone 5mg Tablet (per box of 28 tablets),6.27,7.52
PREGBITCH,Pregnancy US Scan Bitch,69.33,83.20
PREGSCAN,Pregnancy US Scan Mare,50.44,60.53
PREGSCANSCH,Pregnancy US Scan Mare (Scheme),0.00,0.00
XRAYBITCHPREG,Pregnancy X-Ray Bitch,255.66,306.79
SEMENEXPORTPAPERS,Prepare Official Semen Export Paperwork (per dog),45.53,54.64
PRESSAGEK3,Pressage Bandage Knee Size 3 (K3) (per bandage),71.76,86.11
PREVICOXBOX,Previcox 227mg Tablets (per box of 60 tablets),83.30,99.96
PRIDDELTABOX,Prid Delta Intrauterine Device (per 10 pack),116.82,140.18
PROGKIT,Progesterone kit,3.16,3.79
PRIDDELTAC,Progesterone-Releasing Intravaginal Device,11.68,14.02
PROMACETAB,PromAce Acepromazine 10mg (per tablet),0.85,1.02
PROMACEBOT,PromAce Acepromazine 10mg Tablets (per pot of 500 tablets),285.00,342.00
PROSTIN,Prostin Gel (PGE₂) (per 1mg tube),55.00,66.00
PSEUDOEPHBOX,Pseudoephedrine 60mg (per box of 12 tablets),9.18,11.01
PSEUDOEPHTAB,Pseudoephedrine 60mg (per tablet),0.76,0.92
DEWCLAWPUP,Puppy Dew Claw Removal (Includes local anaesthetic & cautery),14.19,17.03
PUPPYVACCDISCOUNT,Puppy Vaccination & Health Check  BREEDERS SPECIAL DISCOUNT,19.29,23.15
PYRATAPE,Pyratape Pyrantel Paste (per tube),10.85,13.02
PYROBOT,Pyroflam Injection (Flunixin Meglumine 50mg/ml) (per 100ml bottle),140.00,168.00
PYROML,Pyroflam Injection (Flunixin Meglumine 50mg/ml) (per ml),1.40,1.68
QMMSWATERTESTING,QMMS Comprehensive Water Testing,95.50,114.60
QMMSWATERKIT,QMMS Priority Water Kit,18.00,21.60
RADNECK,Radiograph (XRAY) Cervical (Neck) Vertebrae,332.07,398.48
XRAYDOG,Radiograph (XRAY) Dog Extremity,325.00,390.00
RADRAD,Radiograph (XRAY) Radius,204.33,245.20
RADBACK,Radiograph (XRAY) Spine/Back,277.17,332.60
RADTIB,Radiograph (XRAY) Tibia,204.33,245.20
RADCAN,Radiograph Cannon Bone (4 views),204.33,245.20
RADEL,Radiograph Elbow,222.27,266.72
RADFET,Radiograph Fetlock,224.95,269.94
RADFOOT,Radiograph Foot (LM & DP),176.75,212.10
RADHEAD,Radiograph Head,254.41,305.29
RADHOCK,Radiograph Hock,244.40,293.28
RADKNEE,Radiograph Knee,243.71,292.45
RADRP,Radiograph Radial Physes (Knee Growth Plates),176.75,212.10
RADREVIEW,Radiograph Set Interpretation,53.56,64.27
RADSHOUL,Radiograph Shoulder,265.20,318.24
RADSTIFLE,Radiograph Stifle,275.60,330.72
RADOSS,Radiographs to Assess Cuboidal Bone Ossification,181.57,217.88
RAPIDEXBOT,Rapidexon Dexamethasone 0.2% Injectable (50ml Bottle),28.75,34.50
RAPIDEXML,Rapidexon Dexamethasone 0.2% Injectable (per ml),0.58,0.69
REEXSMA,Re-examine Small Animal,37.49,44.99
REBILL,Rebilling,0.00,0.00
RECEPTBOT,Receptal (Buserelin 0.004mg/ml) Injectable (per 10ml vial),29.38,35.26
RECEPTML,Receptal (Buserelin 0.004mg/ml) Injectable (per ml),2.94,3.53
RECIPSYNC,Recipient Mare Synchronisation,234.00,280.80
REFUND,Refund for OPU Materials,833.00,833.00
DIARRHREH,"REH Diarrhoea Profile (Clostridium diff, Clostridium perf, Salmonella, Rotavirus, Crypto) (Rainbow L",115.00,138.00
RELAQUINE,Relaquine 35mg/ml Oral Gel (per 10ml syringe),19.50,23.40
REMOTECONSULT,Remote Specialist Consult (per case - incl review all history & follow-up),62.40,74.88
MARBLEOUT,Remove Intrauterine Acrylic Sphere (Marble),78.00,93.60
PRIDOUT,Remove Progesterone-Releasing Intravaginal Device (PRID),0.00,0.00
REMOVESHOE,Remove Shoe,16.07,19.28
REMOVESHOESET,Remove Shoes (Full Set),36.40,43.68
REMOVESUT,Remove Sutures/Staples,20.80,24.96
RENAL,Renal Profile Blood Test (Rainbow Lab),73.00,87.60
RENO10BOX,Renofoam Standard Non-Adhesive Dressing 10x10cm (per 10 pack),43.80,52.56
RENO10C,Renofoam Standard Non-Adhesive Dressing 10x10cm (per dressing),4.38,5.26
RENO20BOX,Renofoam Standard Non-Adhesive Dressing 10x20cm (per 10 pack),79.60,95.52
RENO20C,Renofoam Standard Non-Adhesive Dressing 10x20cm (per dressing),7.96,9.55
PERINEALLAC1,Repair 1st Degree Perineal Laceration,72.31,86.77
REPEATCOLLECTDOG,Repeat Semen Collection Dog (Same Day) (Incl Routine Semen Assessment),86.66,103.99
RESCANABD,Repeat Ultrasound Scan Abdomen,45.50,54.60
RESCANCHEST,Repeat Ultrasound Scan Chest,50.86,61.03
RESCANUMB,Repeat Ultrasound Scan Umbilical Structures (Navel),44.99,53.99
RESPPCR,"Respiratory Profile (Rainbow Lab) Strangles, Flu, EHV1+4 PCR",97.00,116.40
RESTOREBAG,Restore 400g Oral Rehydration Electrolytes (per bag),11.85,14.22
RESTORE32BOX,Restore 400g Oral Rehydration Electrolytes (per box of 32),379.69,455.63
RFM1,Retained Foetal Membranes Manual Removal,104.00,124.80
RFM2,Retained Foetal Membranes Manual Removal (Prolonged),156.00,187.20
RHEUMOEQ100,Rheumocam (Meloxicam 15mg/ml) Oral Suspension (per 100ml bottle),41.33,49.60
RHEUMOEQ250,Rheumocam (Meloxicam 15mg/ml) Oral Suspension (per 250ml bottle),68.00,81.60
REQUI,Rhodococcus Equi Serology (Rainbow Lab),46.00,55.20
RIFADINBOX,Rifadin (Rifampicin) 300mg Oral Capsules (per box of 100 capsules),350.50,420.60
RIFAMPINPOT,Rifampin Oral Paste (per 250ml pot),226.20,271.44
ROTAFAECAL,Rotavirus Faecal Analysis,27.00,32.40
VBROOKES,Routine Call-Out Brookes Willow Farm,52.00,62.40
VCLIFF,Routine Call-Out Cliff Stud,29.05,34.86
VCONSORT,Routine Call-Out Consort Equine Therapies,35.36,42.43
VETCHINGHAM,Routine Call-Out Etchingham Stud,26.00,31.20
VJONES,Routine Call-Out Ferry Lane,74.88,89.86
VKEMP,Routine Call-Out Fir Tree Farm,40.00,48.00
VKEMPDISCOUNT,Routine Call-Out Fir Tree Farm (breeding work discount),33.20,39.84
VMILTON,"Routine Call-Out Germany Beck, Fulford",47.84,57.41
VWESTWOOD,Routine Call-Out Hayton,45.76,54.91
VINGSFARM,"Routine Call-Out Ings Farm, Claxton",27.04,32.45
VCAMACHODISCOUNT,Routine Call-Out JAC Racing/Star Cottage Stables,13.32,15.98
VCHAPMAN,Routine Call-Out Karen Chapman (Thorpe),49.92,59.90
VETHERINGTON,"Routine Call-Out Lund, Driffield",46.80,56.16
VBARNES,Routine Call-Out Muston,43.68,52.42
VLEMKE,Routine Call-Out North Fordon Farm,41.60,49.92
VSCUTT,Routine Call-Out Owsthorpe Farm,69.00,82.80
VWILSON,Routine Call-Out Skerne Lees,46.80,56.16
VWYKEHAM,Routine Call-Out Wykeham Carr Farm,33.28,39.94
ROUTINEDENTAL,Routine Dental Examination and Rasp,45.53,54.64
VGLENWOOD,Routine Scheduled Call-Out Glenwood Stud,51.46,61.75
VGLENWOODSATSUN,Routine Scheduled Sat/Sun Call-Out Glenwood Stud,61.75,74.10
VALBAROSA,Routine Scheduled Visit Albarosa Stud,61.42,73.70
VBCS,Routine Scheduled Visit Branton Court Stud,63.91,76.69
CONSULTSMA,Routine Small Animal Consultation,45.53,54.64
VNICHOLLSRACING,Routine Visit Adrian Nicholls Racing,46.80,56.16
VASHBROOKESTUD,Routine Visit Ashbrooke Stud,156.00,187.20
VELLISON,Routine Visit Brian Ellison Racing,14.15,16.98
VBURSEA,Routine Visit Bursea Lodge Stud,51.46,61.75
VCOWARD,Routine Visit Coward Racing,25.74,30.89
VDEC,Routine Visit Declan Carroll Racing,14.15,16.98
VSCAVE,Routine Visit Four Acre,53.04,63.65
VIANBROWN,Routine Visit Ian Brown,40.00,48.00
VLASKILL,Routine Visit Laskill,46.80,56.16
VLES,Routine Visit Les Eyre Racing,79.49,95.38
VASPREY,Routine Visit Low Northholme Cottage,28.08,33.70
VNGS,Routine Visit Norton Grove Stud,22.36,26.83
VRATTENROW,Routine Visit Ratten Row,37.00,44.40
VRAPER,Routine Visit Thornton Lodge Farm,41.60,49.92
VBEDFORD,Routine Visit Thorpe Hill Farm,62.40,74.88
VWHINNHILL,Routine Visit Whinn Hill,45.76,54.91
VWOODDISCOUNT,Routine Visit Wood Discount (in area),18.72,22.46
VWYTCHWOOD,Routine Visit Wytchwood,41.60,49.92
SALMONELLAPCR,Salmonella Faecal PCR (Rainbow Lab),35.50,42.60
TAPTS,"Sample Tendon Sheath Fluid (incl prep, sterile gloves, consumables + procedure)",73.65,88.38
SCALP10BOX,Scalpels No. 10 (per 10 pack),5.39,6.47
SCALP12BOX,Scalpels No. 12 (per 10 pack),5.39,6.47
SCALP15BOX,Scalpels No. 15 (per scalpel),0.45,0.54
SCALP20BOX,Scalpels No. 20 (per 10 pack),5.87,7.04
VGARROWBY,Scheduled Call-Out Garrowby Stud,26.56,31.87
VLEAKE,Scheduled Call-Out Leake Stud,54.78,65.74
VORCHARD,Scheduled Call-Out Orchard Livery,39.52,47.42
VLOCALSATSUN,Scheduled Saturday/Sunday Visit Malton Racing Yard (Breeding Work),26.83,32.20
VWARKUP,Scheduled Visit High Emmotland Farm,54.00,64.80
IGGSCH,Scheme Blood Sample & IgG Antibody Test,0.00,0.00
FOALSCH,"Scheme Newborn Foal Exam, Tetanus Antitoxin Inj, Blood Sample, IgG Antibody Test",0.00,0.00
WEATHERBYSSCH,"Scheme TB Foal Weatherbys ID, Blood for DNA, Microchip & Postage",0.00,0.00
SCISSOR,"Scissors 5.5""",5.46,6.55
SEDALIN,Sedalin (per 10ml tube),27.61,33.13
SEDDBUNDLE,Sedate Dog (drugs & consumables included),0.00,0.00
SEDHBUNDLE,"Sedate Horse (incl drugs, consumables, monitoring of sedation & top-ups)",0.00,0.00
SEDFEEEQ,Sedation fee equine,26.78,32.14
SEDFEEEQDISCOUNT,Sedation Fee Equine Discount,10.92,13.10
SEDFEESA,Sedation fee small animal,66.95,80.34
SEDEDORMML,Sededorm 1ml Dose,14.25,17.10
SEDEDORMBOT,Sededorm Medetomidine HCl 1mg/ml (per 10ml bottle),142.47,170.96
SEDIVETBOT,Sedivet (Romifidine 1%) Injection (per 20ml bottle),112.58,135.10
SEDIVETML,Sedivet (Romifidine 1%) Injection (per ml),5.63,6.75
SEMENALKPHOS,Semen Alkaline Phosphatase Test,19.88,23.85
FRZSEMEN,"Semen Analysis, Processing & Freezing (Excludes Collection)",286.00,343.20
CENTRIFUGECYT,Semen Centrifuge and Cytology,42.90,51.48
SEMENFRZ,Semen Collect & Freeze (incl semen analysis pre+post-thaw),352.30,422.76
DOGCOLLECTIONSUBSEQ,Semen Collection Dog (per additional 15 minutes),56.98,68.38
DOGCOLLECT,Semen Collection Dog (Up to 15 mins) (Incl Routine Semen Assessment),119.60,143.52
COLLECTTCIBUNDLE,Semen Collection Dog For Chilled/Fresh TCI (Up to 15 mins) (Incl Routine Semen Assessment),0.00,0.00
SEMENSTRAWPRINT50,Semen Straw Printing from Stallion AI (per first 50),67.50,81.00
SEMENSTRAWPRINT,Semen Straw Printing from Stallion AI (per straw after first 50),0.45,0.54
SAA,Serum Amyloid A (SAA) Blood Test (Rainbow Lab),14.50,17.40
LHTESTBUNDLE,Serum Luteinising Hormone (LH) Assay,0.00,0.00
LH,Serum Luteinising Hormone (LH) Assay,48.45,58.14
SILDENAFILBOX,Sildenafil 25mg (per box of 4 tablets),4.85,5.81
SILDENAFILTAB,Sildenafil 25mg (per tablet),1.21,1.45
SILEOGEL,Sileo Dexmedetomidine Oromucosal Gel 0.1mg/ml (per 3ml tube),24.94,29.93
TCICATHBOX,Single Use Minitube Transcervical CH4 Catheter & Guidewire (per 10 pack),114.00,136.80
TCICATHC,Single Use Minitube Transcervical CH4 Catheter & Guidewire (per catheter),11.40,13.68
SMAOOH,"Small Animal Out Of Hours Surcharge (Sat, Sun, Public Holiday)",168.71,202.45
CLAIMFEE,Small Claims Court Statutory Claim Fee,43.33,52.00
SOFBOX,Soffban Orthopaedic Padding 10cm x 2.7m (per 12 pack),21.48,25.78
SOFC,Soffban Orthopaedic Padding 10cm x 2.7m (per roll),1.79,2.15
SOFTPALATE,Soft Palate Thermocautery (Standing Surgery),527.80,633.36
SOMULOSEBOT,Somulose Injectable (per 25ml bottle),75.23,90.27
SOMULOSEML,Somulose Injectable (per ml),3.01,3.61
SOTALOLBOX,Sotalol 80mg tablets (per pack of 28),0.36,0.43
SPASCOMPBOT,Spasmium (Buscopan) Compositum (per 100ml bottle),63.93,76.71
SPASCOMPML,Spasmium (Buscopan) Compositum (per ml),0.64,0.77
SV1,Special Call-Out 1 (up to 10 miles),45.53,54.64
SV2,Special Call-Out 2,66.95,80.34
SVELLISON,Special Visit Brian Ellison Racing,21.84,26.21
SVDEC,Special Visit Declan Carroll Racing,21.84,26.21
SPECIALMILEAGE,Special Visit Fee (£2 per mile travelled),2.00,2.40
SVLES,Special Visit Les Eyre Racing,158.96,190.76
SVNGSSATSUN,Special Visit Norton Grove Stud,26.83,32.20
SPECCONSULT,Specialist Reproductive Consultation,198.17,237.80
SPERMLONGEVITY,Sperm Longevity Assessment with Chilled Extender (up to 7 days),138.66,166.39
MORPHOLOGY,Sperm Morphology Assessment,80.60,96.72
SPUT,Sputolosin (Dembrexine 5mg/g) Oral Powder (per 420g tub),71.06,85.27
LIVERY,Stable Livery (per day),32.14,38.56
CEMCULTSTALLION,Stallion Penile CEM Culture from 3 or 4 Sites (Rainbow Lab),68.00,81.60
STALLIONFRZ,Stallion Semen Freezing (per breeding dose),13.39,16.07
STALLIONSDIRECTDISTRIB,Stallions Direct Frozen Semen Processing for Distribution,120.00,144.00
STALLIONSDIRECTSTANDINGCHARGE,Stallions Direct Standing Charge (Use of Facilities & Nitrogen Top-Ups),25.00,30.00
STANDARDMILEAGE,Standard Call-Out Fee (£1 per mile travelled),1.00,1.20
STANDSURG,Standing Surgical Time (per hour),357.67,429.20
STAPLEREMOVERS,Staple Removers,1.00,1.20
STEGBOX,Steglatro (Ertugliflozin) 15mg (per box of 28 tablets),90.46,108.55
STEGTAB,Steglatro (Ertugliflozin) 15mg (per tablet),3.23,3.88
STGAUZE10,Sterile Gauze Swabs (10cm x 10cm 16 Ply) (per pack of 10),3.52,4.22
STGAUZE5,Sterile Gauze Swabs (5cm x 5cm 8 Ply) (per 5 pack),0.50,0.60
STERILESAL,Sterile Isotonic Saline for Injection (per 1L),113.24,135.89
WATERFORINJML,Sterile Water for Injection (per ml),0.18,0.21
WATERFORINJBOX,Sterile Water for Injection (per pack of 10x 5ml vial),8.76,10.51
STPOUCH140,"Sterilisation Pouch, Self-Seal 140mm x 260mm (per 200)",11.58,13.90
STPOUCH200,"Sterilisation Pouch, Self-Seal 200mm x 405mm (per 200)",27.14,32.57
TUBE,Stomach Tube Horse/Foal,55.64,66.77
STRANGGPWPCR,Strep equi equi (Strangles) PCR (Rainbow Lab),33.50,40.20
STRANG,Strep equi equi (Strangles) Serology (Rainbow Lab),33.50,40.20
STRONGHOLD20to40,Stronghold Large Breed Dog (20-40Kg) (per 3 pipette box),25.90,31.08
STRONGIDP,Strongid P Pyrantel Paste (per tube),9.16,10.99
SUCCEEDFECALTESTKIT,Succeed Faecal Test Kit,1.00,1.20
SUCRALPASTE250,Sucralfate 500mg/ml Oral Paste (per 250ml tub),169.66,203.59
SUDOCREM,Sudocrem 400g,16.89,20.26
SUPRELORIN4,Suprelorin (4.7mg deslorelin) GnRH Implant Placement,132.24,158.68
SURGEONFEE,Surgeon Fee,1.07,1.28
SURGICALSPIRIT,Surgical Spirit 5L (2 pack),32.00,38.40
SUROLAN,Surolan Ear Drops 30ml bottle,33.30,39.96
ENTROPION,Suture Lower Eyelid to Correct Entropion,60.26,72.31
SWABCERV,Swab Cervix/Uterus (Incl Double-Guarded Swab & Charcoal Transport Swab),39.63,47.56
SWABCLIT,Swab Clitoral Fossa & Sinuses (Incl Micro-Tip Charcoal Transport Swab),18.72,22.46
SWABCORNEA,Swab Cornea for Culture/Cytology (includes local anaesthetic and consumables),27.32,32.78
SWABVAG,Swab Cranial Vagina for Microbiology,23.03,27.64
SWABSTALLION,"Swab Stallion Urethra, Urethal Fossa & Penile Shaft/Prepuce",80.34,96.41
SWABSITE,Swab Tissue (Incl Standard-Tip Charcoal Transport Swab),18.75,22.50
SYNOQUINLARGE,Synoquin Large Breed Dog Tablets (per box of 120),69.32,83.18
TAPCOFF,Synovial Tap Coffin Joint,59.72,71.66
TAPSTIFLE,Synovial Tap Stifle Joint,73.91,88.69
BS,Take & Process Blood Sample,18.20,21.84
TAPFETLOCK,Tap Fetlock Joint,59.72,71.66
TAPHOCKTC,Tap Hock Tarsocrural Joint,59.80,71.76
TAPHOCKTMT,Tap Hock Tarsometatarsal Joint,59.80,71.76
WEATHERBYS,"TB Foal Weatherbys ID, Blood Sample for DNA, Microchip & Postage",91.05,109.26
HEALTHTESTSBUNDLE,"TB Mare Pre-Breeding EVA, EIA + Clitoral CEM Culture (incl sampling, lab fees & consumables)",0.00,0.00
DRY TB SCH,TB Mare Scheme (Barren/Maiden),775.00,930.00
DRY TB SCH BATTLEFIELD,TB Mare Scheme (Barren/Maiden),837.00,1004.40
WET TB SCH BATTLEFIELD,TB Mare Scheme (Foaling Mare),1007.00,1208.40
WET TB SCH,TB Mare Scheme (Foaling Mare),945.00,1134.00
TEGRETOL400,Tegretol (Carbamazepine) 400mg tablets (per 56 pack),27.03,32.44
ELASTOBOX,Tensoplast Adhesive Bandage (per 12 pack),85.61,102.73
ELASTOROLL,Tensoplast Adhesive Bandage 7.5cm (per roll),7.13,8.56
TCS,Terminal Caesarean-Section (including surgery and foal resuscitation),210.00,252.00
TERUMO50BOX,Terumo 3 Part 50ml Syringes (per box),13.20,15.84
TERUMO50C,Terumo 3 Part 50ml Syringes (per syringe),0.53,0.63
NEEDLEPINK,"Terumo Agani 18G 1.5"" Needle Pink (per 100 pack)",2.85,3.42
NEEDLEYELLOW,"Terumo Agani 20G 1"" Needle Yellow (per 100 pack)",2.85,3.42
NEEDLEGREEN,"Terumo Agani 21G 1.5"" Needle Green (per 100 pack)",2.85,3.42
NEEDLEBLUE,"Terumo Agani 23G 5/8"" Needle Blue (per 100 pack)",2.85,3.42
TERUMOGUIDEWIRE,"Terumo Single-Use Angio Guidewire Straight 0.018"" 260cm",68.00,81.60
TOTALPROTEIN,Test Body Fluid Total Protein (Alb/Glob),25.00,30.00
TESTBUNDLE,Test Bundle,0.00,0.00
TESTBUNDLECONTAINER,Test Bundle Container,0.20,0.24
TESTPRODUCT,Test Product Per box of 10 vials,2.00,2.40
TESTOSTERONE,Testosterone Blood Test (Rainbow Lab),33.50,40.20
TATBOT,Tetanus Antitoxin Injection (per 50ml bottle),170.83,204.99
TATML,Tetanus Antitoxin Injection (per ml),3.42,4.10
THYPANELAX,Thyroid Standard Panel (TT4 & cTSH) (Axiom Lab),48.37,58.04
THYRONORM100,Thyronorm (Thiamazole 5mg/ml) Oral Solution (per 100ml bottle),47.31,56.77
THYRONORM30,Thyronorm (Thiamazole 5mg/ml) Oral Solution (per 30ml bottle),22.09,26.50
TORBBOT,Torbugesic (Butorphanol 10mg/ml) Inj (per 10ml bottle),221.11,265.34
TORBML,Torbugesic 1ml Dose,22.11,26.53
TOTALCALC,Total Calcium Blood Test (Rainbow Lab),12.50,15.00
TRACHWASH,Tracheal Wash (includes sterile fluids and consumables),28.39,34.07
TRACHEOTUBE,Tracheostomy Tube (Temporary Placement and Hire of Device),128.54,154.25
TRANQML,Tranquinervin 1ml Dose,10.36,12.43
TRANQBOT,Tranquinervin Acepromazine (ACP) 10mg/ml Injectable (per 20ml bottle),207.10,248.52
SCANFOETUS,Transabdominal Ultrasonographic Foetal Wellbeing Assessment,136.58,163.90
RECTALUSBLADDER,Transrectal Ultrasound Exam Bladder,51.15,61.38
SCANVAG,"Transvaginal Ultrasound Exam of Vagina, Cervix, Bladder + Perirectal Area",58.92,70.70
TRAZ100BOX,Trazodone 100mg (per box of 56 capsules),32.78,39.34
TRAZ100CAP,Trazodone 100mg (per capsule),0.59,0.70
TRAZ150BOX,Trazodone 150mg (per box of 28 tablets),35.42,42.50
TRAZ150TAB,Trazodone 150mg (per tablet),1.26,1.52
TRAZ50BOX,Trazodone 50mg (per box of 84 capsules),35.31,42.37
TRAZ50CAP,Trazodone 50mg (per capsule),0.42,0.50
TRENTALBOX,Trental (400mg Pentoxyphylline) (per box of 90 tablets),61.08,73.29
TRENTALTAB,Trental (400mg Pentoxyphylline) (per tablet),0.68,0.81
TRIMEDBOX,Trimediazine Oral (Box of 10 Sachets),69.06,82.87
TROCANYELLOW,"Troge Tro-can 20G 1"" Needle Yellow (per 100 pack)",2.15,2.58
TROCANGREEN,"Troge Tro-can 21G 5/8"" Needle Light Green (per 100 pack)",3.00,3.60
TROPICBOX,Tropicamide 1% Minim (per box of 20 vials),74.65,89.58
TROPICMIN,Tropicamide 1% Minim (per vial),3.73,4.48
TROT,Trot Up Horse,18.72,22.46
DOURINE,Trypanosoma equiperdum (Dourine) CFT Test (APHA),40.38,48.45
TUFFROCK1L,Tuff Rock Foal Plus (per 1L container),59.43,71.32
TWIN,Twin Reduction (14-16 days),93.60,112.32
TWINSCH,Twin Reduction (14-16 days) (Scheme),0.00,0.00
VETTING2STAGE,Two Stage Pre Purchase Vetting Examination (includes 6 months VDS blood storage),265.83,319.00
INSVETTING2STAGE,Two Stage Vetting Examination for Insurance,161.20,193.44
USGEL250,Ultrasound Gel (per 250ml),2.52,3.02
USGEL5,Ultrasound Gel (per 5L),21.66,25.99
SCANABD,Ultrasound Scan Abdomen,74.36,89.23
